id,make,model,year,engine,horsepower,torque,acceleration,price,url
523,Lexus,LC 500,2021,5,471,398,4.4,"92,950",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
524,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,600,000",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/2020_Lotus_Evija.jpg/640px-2020_Lotus_Evija.jpg
525,Maserati,GranTurismo,2021,4.7,454,384,4.8,"134,300",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
526,Porsche,Taycan,2021,Electric,616,774,2.6,"185,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/2020_Porsche_Taycan_4S_79kWh_Front.jpg/640px-2020_Porsche_Taycan_4S_79kWh_Front.jpg
527,Rimac,C_Two,2022,Electric,1914,1696,1.9,"2,400,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rimac_Nevera.jpg/640px-Rimac_Nevera.jpg
528,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"140,000",/placeholder-car.jpg
529,McLaren,Artura,2022,3,671,531,3,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/2021_McLaren_Artura_%281%29.jpg/640px-2021_McLaren_Artura_%281%29.jpg
530,Mercedes-Benz,AMG GT Black Series,2021,4,720,590,3.1,"325,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg/640px-Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg
531,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
532,Ford,GT,2021,3.5,647,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
533,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/AstonMartinDB-S-1969-avant.jpg/640px-AstonMartinDB-S-1969-avant.jpg
534,Jaguar,F-Type,2022,5,575,516,3.5,"103,200",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/2024_Jaguar_F-Type_Heritage.jpg/640px-2024_Jaguar_F-Type_Heritage.jpg
535,Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797,707,3.5,"80,190",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
536,Lotus,Evora GT,2022,3.5,416,317,3.8,"105,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
537,Alfa Romeo,4C Spider,2020,1.8,237,258,4.1,"68,745",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Festival_automobile_international_2014_-_Alfa_Romeo_4C_-_009.jpg/640px-Festival_automobile_international_2014_-_Alfa_Romeo_4C_-_009.jpg
538,Subaru,WRX STI,2022,2.5,310,290,5.2,"38,170",https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/2022_Subaru_WRX_GT_in_Ceramic_White%2C_front_left_%28NYIAS_2022%29.jpg/640px-2022_Subaru_WRX_GT_in_Ceramic_White%2C_front_left_%28NYIAS_2022%29.jpg
539,Acura,NSX,2022,3.5,573,476,2.7,"157,500",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/AcuraNSX-05-cropped.jpg/640px-AcuraNSX-05-cropped.jpg
540,Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg/640px-GIMS_2019%2C_Le_Grand-Saconnex_%28GIMS0833%29.jpg
541,Tesla,Model S Plaid,2022,Electric,1020,1050,1.98,"139,990",/placeholder-car.jpg
542,Bugatti,Chiron Super Sport 300+,2022,8,1578,1180,2.3,"5,200,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bugatti_Chiron_1.jpg/640px-Bugatti_Chiron_1.jpg
543,McLaren,Senna,2020,4,789,590,2.7,"1,500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/McLaren_Senna_IMG_3279.jpg/640px-McLaren_Senna_IMG_3279.jpg
544,Porsche,Taycan Turbo S,2022,Electric,750,774,2.6,"185,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/2020_Porsche_Taycan_4S_79kWh_Front.jpg/640px-2020_Porsche_Taycan_4S_79kWh_Front.jpg
545,Mercedes-Benz,SLS AMG Black Series,2014,6.2,622,468,3.5,"275,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg
546,Lexus,LC 500,2022,5,471,398,4.4,"93,050",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
547,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"65,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
548,Audi,RS 7 Sportback,2022,4,591,590,3.5,"114,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/RS_S_AA.png/640px-RS_S_AA.png
549,Ford,GT,2022,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
550,BMW,M2 CS,2022,3,444,406,3.8,"84,595",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/BMW_G87_M2_1X7A1838.jpg/640px-BMW_G87_M2_1X7A1838.jpg
551,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,550",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
552,Lamborghini,Aventador,2022,6.5,770,531,2.8,"393,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
553,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg/640px-Aston-Martin_Vantage_%281973%29_%2834328531642%29.jpg
554,Lotus,Evora GT,2021,3.5,416,317,3.8,"96,950",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
555,Porsche,Panamera Turbo S,2021,4,620,604,2.9,"180,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_972_IMG_9337.jpg/640px-Porsche_972_IMG_9337.jpg
556,Lamborghini,Aventador S,2022,6.5,729,507,2.9,"460,247",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
557,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
558,Audi,RS 6 Avant,2022,4,591,590,3.1,"110,045",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/RS_S_AA.png/640px-RS_S_AA.png
559,McLaren,570S,2021,3.8,562,443,3.1,"192,500",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
560,BMW,M5,2022,4.4,600,553,3.2,"103,500",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg/640px-BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg
561,Mercedes-Benz,AMG C 63 S,2021,4,503,516,3.7,"77,400",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg/640px-Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg
562,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
563,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
564,Ford,GT,2021,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
565,Nissan,370Z Nismo,2020,3.7,350,276,5,"46,815",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
566,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,550",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
567,Audi,TT RS,2021,2.5,394,354,3.6,"67,895",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg/640px-2019_Audi_TT_Sport_40_TFSi_S-A_2.0_Front.jpg
568,Chevrolet,Corvette Z06,2023,5.5,625,650,2.6,"85,000",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/2021_Chevrolet_Corvette_C8.jpg/640px-2021_Chevrolet_Corvette_C8.jpg
569,Lamborghini,Urus,2022,4,641,626,3.2,"218,009",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lamborghini_Urus_SE_DSC_8524.jpg/640px-Lamborghini_Urus_SE_DSC_8524.jpg
570,Mercedes-Benz,AMG GT 63 S,2021,4,630,664,3.1,"162,900",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg/640px-Mercedes-AMG_S_63%2C_Frankfurt_%281Y7A3450%29.jpg
571,Ferrari,Portofino M,2022,3.9,612,560,3.5,"245,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Ferrari_Portofino_M_IMG_4351.jpg/640px-Ferrari_Portofino_M_IMG_4351.jpg
572,Bugatti,Chiron,2021,8,1479,1180,2.5,"3,000,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bugatti_Chiron_1.jpg/640px-Bugatti_Chiron_1.jpg
573,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"304,995",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/AstonMartinDB-S-1969-avant.jpg/640px-AstonMartinDB-S-1969-avant.jpg
574,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
575,Porsche,Cayman GT4,2022,4,414,309,4.2,"100,200",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
576,Acura,NSX,2021,3.5,573,476,2.7,"157,500",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/AcuraNSX-05-cropped.jpg/640px-AcuraNSX-05-cropped.jpg
577,Lexus,LC,2021,5,471,398,4.4,"92,950",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
578,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"74,750",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Alfa_Romeo_Giulia_Super_%28cropped%29.jpg/640px-Alfa_Romeo_Giulia_Super_%28cropped%29.jpg
579,Audi,RS7,2021,4,591,590,3.5,"114,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/2018_Audi_A7_S_Line_40_TDi_S-A_2.0.jpg/640px-2018_Audi_A7_S_Line_40_TDi_S-A_2.0.jpg
580,Bentley,Continental GT,2021,6,626,664,3.3,"218,400",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg/640px-1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg
581,BMW,M5,2021,4.4,600,553,3.2,"103,500",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg/640px-BMW%2C_Techno_Classica_2018%2C_Essen_%28IMG_8995%29.jpg
582,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
583,Dodge,Challenger Hellcat,2021,6.2,717,656,3.5,"70,595",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg/640px-Dodge_Challenger_SRT8_%282015%29_Hirschaid-20220709-RM-120221.jpg
584,Ford,GT,2022,3.5,647,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
585,Jaguar,F-Type R,2021,5,575,516,3.5,"103,200",https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/2024_Jaguar_F-Type_Heritage.jpg/640px-2024_Jaguar_F-Type_Heritage.jpg
586,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
587,McLaren,570S,2021,3.8,562,443,3.1,"203,500",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
588,Mercedes-Benz,SLS AMG,2015,6.2,583,479,3.6,"221,580",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg
589,Nissan,370Z Nismo,2020,3.7,350,276,4.7,"47,190",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
590,Porsche,Boxster,2021,2,300,280,4.9,"62,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_718_Boxster_Spyder_IMG_2961.jpg/640px-Porsche_718_Boxster_Spyder_IMG_2961.jpg
591,Porsche,718 Cayman,2022,2,300,280,4.9,"61,500",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg/640px-Porsche_718RSK_Spyder%2C_front_right%2C_Stratford.jpg
592,Lamborghini,Aventador,2021,6.5,759,531,2.9,"393,695",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
593,Ferrari,Roma,2021,3.9,612,561,3.3,"222,630",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg/640px-2021_Ferrari_Roma_in_Rosso_Fiorano%2C_front_right.jpg
594,Audi,RS 5,2022,2.9,444,442,3.5,"75,400",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/RS_S_AA.png/640px-RS_S_AA.png
595,McLaren,570S,2020,3.8,562,443,3.1,"208,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
596,BMW,M2,2022,3,405,406,4.2,"58,900",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/BMW_G87_M2_1X7A1838.jpg/640px-BMW_G87_M2_1X7A1838.jpg
597,Mercedes-Benz,SL,2022,3,429,384,4.9,"96,250",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Mercedes-Benz_SL_350_AMG_Line_%28R_231%29_%E2%80%93_Frontansicht%2C_22._M%C3%A4rz_2014%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SL_350_AMG_Line_%28R_231%29_%E2%80%93_Frontansicht%2C_22._M%C3%A4rz_2014%2C_D%C3%BCsseldorf.jpg
598,Chevrolet,Camaro,2021,6.2,455,455,4,"25,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
599,Ford,GT,2022,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
600,Nissan,370Z Nismo,2021,3.7,350,276,5,"45,000",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
601,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.4,"307,820",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/AstonMartinDB-S-1969-avant.jpg/640px-AstonMartinDB-S-1969-avant.jpg
602,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,450",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg/640px-2017_Lotus_Evora_400%2C_sky_blue%2C_front_left.jpg
603,Maserati,GranTurismo,2021,4.7,454,384,4.7,"134,300",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
604,Porsche,Panamera,2022,2.9,325,331,5.2,"88,550",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_972_IMG_9337.jpg/640px-Porsche_972_IMG_9337.jpg
605,Lamborghini,Urus,2021,4,641,627,3.6,"218,009",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lamborghini_Urus_SE_DSC_8524.jpg/640px-Lamborghini_Urus_SE_DSC_8524.jpg
606,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
607,Audi,RS 6,2022,4,591,590,3.5,"109,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/RS_S_AA.png/640px-RS_S_AA.png
608,McLaren,Artura,2022,3,671,531,3,"225,000",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/2021_McLaren_Artura_%281%29.jpg/640px-2021_McLaren_Artura_%281%29.jpg
609,Porsche,Taycan 4S,2021,Electric (93 kWh),429,472,3.8,"103,800",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/2020_Porsche_Taycan_4S_79kWh_Front.jpg/640px-2020_Porsche_Taycan_4S_79kWh_Front.jpg
610,Lamborghini,Aventador S,2021,6.5,730,509,2.9,"417,650",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg/640px-Lamborghini_Aventador_at_Chelsea_Auto_Legends_2012%2C_London_%28Ank_Kumar%29_02.jpg
611,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg/640px-FIA_F1_Austria_2019_Nr._5_Vettel_1.jpg
612,Audi,RS 7,2022,4,591,590,3.5,"117,000",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/RS_S_AA.png/640px-RS_S_AA.png
613,McLaren,570S,2021,3.8,562,443,3.1,"192,500",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/2017_McLaren_570S%2C_blue%2C_front_left.jpg/640px-2017_McLaren_570S%2C_blue%2C_front_left.jpg
614,BMW,M4,2021,3,473,406,4,"72,800",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/2021_BMW_M4_Competition_Automatic_3.0_Front.jpg/640px-2021_BMW_M4_Competition_Automatic_3.0_Front.jpg
615,Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.5,"228,000",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg/640px-Mercedes-Benz_SLS_AMG_%28C_197%29_%E2%80%93_Frontansicht_ge%C3%B6ffnet%2C_10._August_2011%2C_D%C3%BCsseldorf.jpg
616,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg/640px-2019_Chevrolet_Camaro_2SS_6.2L_front_3.16.19.jpg
617,Ford,GT,2021,3.5,660,550,3,"500,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg/640px-Ford_GT_2018_and_Ford_GT_1968_at_Legendy_2019_in_Prague_%28cropped%29.jpg
618,Nissan,370Z Nismo,2021,3.7,350,276,5,"48,000",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/2012-2017_Nissan_Fairlady_Z.jpg/640px-2012-2017_Nissan_Fairlady_Z.jpg
619,Aston Martin,DBS Superleggera,2021,5.2,715,664,3.2,"307,820",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/AstonMartinDB-S-1969-avant.jpg/640px-AstonMartinDB-S-1969-avant.jpg
620,Lexus,LC 500,2021,5,471,398,4.4,"93,000",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg/640px-2023_Lexus_LC500_in_Atomic_Silver%2C_front_left.jpg
621,Bentley,Continental GT,2021,4,626,664,3.3,"202,500",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg/640px-1956_Bentley_Continental_coup%C3%A9_by_Park_Ward.jpg
622,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Maserati_GranTurismo_Trofeo_1X7A0828.jpg/640px-Maserati_GranTurismo_Trofeo_1X7A0828.jpg
623,Tesla,Model S Plaid,2022,Electric (100 kWh),1020,1050,1.98,"131,190",/placeholder-car.jpg
624,Rolls-Royce,Dawn,2021,6.6,563,605,4.3,"346,300",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/2019_Rolls-Royce_Dawn_V12_Automatic_6.6.jpg/640px-2019_Rolls-Royce_Dawn_V12_Automatic_6.6.jpg
625,Bugatti,Chiron Pur Sport,2021,8,1500,1180,2.3,"3,599,000",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Bugatti_Chiron_1.jpg/640px-Bugatti_Chiron_1.jpg
626,McLaren,Senna,2019,4,789,590,2.7,"1,050,000",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/McLaren_Senna_IMG_3279.jpg/640px-McLaren_Senna_IMG_3279.jpg
627,Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid (4.0),690,641,3,"186,350",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Porsche_972_IMG_9337.jpg/640px-Porsche_972_IMG_9337.jpg
628,Acura,NSX,2021,3.5,573,476,2.7,"157,500",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/AcuraNSX-05-cropped.jpg/640px-AcuraNSX-05-cropped.jpg
629,Aston Martin,DB11,2021,4,503,498,3.7,"205,600",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/2018_Aston_Martin_DB11_V8_Automatic_4.0_Front.jpg/640px-2018_Aston_Martin_DB11_V8_Automatic_4.0_Front.jpg
