id,make,model,year,engine,horsepower,torque,acceleration,price
815,Chevrolet,Camaro SS,2021,6.2,455,455,4,"42,000"
816,Ford,Mustang GT,2022,5,460,420,4.5,"43,000"
817,Dodge,Challenger R/T,2021,5.7,372,400,5.1,"35,000"
818,Aston Martin,Vantage,2021,4,503,505,3.6,"151,000"
819,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000"
820,Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"69,000"
821,Jaguar,F-Type,2022,2,296,295,5.4,"62,500"
822,Tesla,Roadster,2022,Electric,1000,737,1.9,"200,000"
823,Koenigsegg,Jesko,2022,5,1600,1106,2.5,"3,000,000"
824,Bugatti,Chiron Super Sport 300+,2021,8,1578,1180,2.4,"5,200,000"
825,Rimac,Nevera,2021,Electric,1914,1696,1.85,"2,400,000"
826,Porsche,Cayman GT4,2022,4,414,309,4.2,"102,100"
827,Chevrolet,Camaro ZL1,2022,6.2,650,650,3.5,"63,000"
828,Aston Martin,Vantage,2021,4,503,505,3.5,"142,086"
829,Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"83,250"
830,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"65,000"
831,Lexus,LC 500,2022,5,471,398,4.4,"93,050"
832,Audi,RS 7 Sportback,2021,4,591,590,3.5,"114,000"
833,BMW,M4 Competition,2022,3,503,479,3.8,"74,700"
834,Mercedes-Benz,C63 S AMG,2022,4,503,516,3.9,"77,600"
835,Ford,GT,2022,3.5,660,550,2.9,"500,000"
836,McLaren,GT,2021,4,620,465,3.1,"210,000"
837,Porsche,Panamera Turbo S,2022,4,630,604,2.9,"181,100"
838,Lamborghini,Aventador S,2021,6.5,730,507,2.9,"417,826"
839,Aston Martin,DBS Superleggera,2022,5.2,715,664,3.2,"329,100"
840,Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
841,Mercedes-Benz,AMG C43 Coupe,2021,3,385,384,4.5,"59,900"
842,BMW,i8,2022,1.5,369,184,4.2,"147,500"
843,Chevrolet,Corvette Stingray,2021,6.2,490,465,2.9,"59,900"
844,Porsche,Taycan,2022,2.0 (Electric),469,263,3.8,"81,250"
845,Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,000"
846,Ferrari,Roma,2021,3.9,611,560,3.3,"222,620"
847,Audi,RS7,2022,4,591,590,3.5,"115,000"
848,McLaren,GT,2021,4,612,465,3.1,"210,000"
849,BMW,M2,2022,3,405,406,4.2,"58,900"
850,Mercedes-Benz,C63 AMG,2021,4,469,479,3.9,"77,000"
851,Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"43,995"
852,Ford,Mustang Mach 1,2021,5,480,420,4.1,"51,720"
853,Nissan,370Z Nismo,2021,3.7,350,276,4.8,"46,610"
854,Porsche,Panamera,2022,2.9,325,331,5.3,"88,550"
855,Lamborghini,Urus,2021,4,641,627,3.6,"218,009"
856,Ferrari,SF90 Stradale,2021,4.0 (Hybrid),986,590,2.5,"625,000"
857,Audi,RS6,2022,4,591,590,3.5,"120,000"
858,McLaren,570S,2021,3.8,562,443,3.1,"192,500"
859,BMW,M4,2022,3,503,479,3.8,"74,000"
860,Mercedes-Benz,AMG A45,2021,2,382,354,4,"50,000"
861,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,995"
862,Acura,NSX,2021,3.5,573,476,2.7,"157,500"
863,Aston Martin,Vantage,2021,4,503,505,3.5,"142,086"
864,Bentley,Continental GT,2021,4,542,568,3.3,"202,500"
865,Bugatti,Chiron,2022,8,1479,1180,2.4,"2,900,000"
866,Ferrari,F8 Tributo,2022,3.9,710,568,2.8,"275,000"
867,Lamborghini,Aventador,2021,6.5,730,509,2.9,"517,000"
868,McLaren,GT,2021,4,612,465,3.1,"201,500"
869,Mercedes-Benz,AMG GT R,2021,4,577,516,3.5,"183,000"
870,Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000"
871,Audi,RS7,2021,4,591,590,3.5,"114,000"
872,BMW,M4,2021,3,473,406,4.1,"71,800"
873,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
874,Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797,707,3.5,"80,190"
875,Ford,GT,2022,3.5,660,550,2.8,"500,000"
876,Jaguar,F-Type,2021,3,380,339,4.4,"62,750"
877,Lexus,LC 500,2021,5,471,398,4.4,"92,000"
878,Lotus,Evija,2021,Electric,2000,1254,2.8,"2,800,000"
879,Maserati,GranTurismo,2021,Electric,550,N/A,2.8,"200,000"
880,Nissan,370Z,2021,3.7,332,270,5,"30,090"
881,Rolls-Royce,Ghost,2021,6.8,563,627,4.6,"332,500"
882,Porsche,Taycan,2021,2,402,254,5.1,"81,250"
883,Aston Martin,DB11,2021,4,630,516,3.7,"198,995"
884,Lotus,Evora GT,2021,3.5,416,317,3.8,"105,000"
885,Acura,NSX,2022,3.5,573,476,2.7,"157,500"
886,Tesla,Roadster,2022,0,"10,000","7,376",1.9,"200,000"
887,Chevrolet,Camaro,2022,6.2,455,455,4,"25,000"
888,Dodge,Charger,2021,6.2,797,707,3.3,"72,000"
889,Jaguar,F-Type,2021,3,380,339,4.9,"62,750"
890,Lexus,LC 500,2021,5,471,398,4.4,"93,000"
891,BMW,M4,2022,3,473,406,4.1,"71,800"
892,Ford,GT,2021,3.5,660,550,2.9,"500,000"
893,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,980"
894,McLaren,600LT,2021,3.8,592,457,2.8,"256,500"
895,Mercedes-Benz,SLS AMG,2021,6.2,622,468,3.6,"254,995"
896,Nissan,370Z,2021,3.7,332,270,5.2,"30,000"
897,Audi,RS 7,2021,4,591,590,3.4,"114,000"
898,Bentley,Continental GT,2021,4,542,568,3.9,"220,000"
899,Bugatti,Chiron,2021,8,"1,500","1,180",2.4,"3,000,000"
900,Porsche,Cayman,2022,2,300,280,4.5,"59,900"
901,Aston Martin,Vantage,2021,4,503,505,3.5,"147,000"
902,Alfa Romeo,4C Spider,2020,1.7,237,258,4.1,"67,150"
903,Audi,RS 5,2022,2.9,444,443,3.5,"75,100"
904,BMW,M2,2022,3,405,406,4,"58,900"
905,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"60,695"
906,Ferrari,F8 Spider,2022,3.9,710,568,2.9,"274,390"
907,Jaguar,F-Type,2021,3,296,295,5.4,"64,700"
908,Lamborghini,Aventador,2021,6.5,759,531,2.9,"517,770"
909,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
910,Lotus,Evora GT,2021,3.5,416,317,3.8,"99,990"
911,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,800"
912,McLaren,GT,2021,4,612,465,3.1,"210,000"
913,Mercedes-Benz,AMG C 63,2021,4,469,479,3.8,"67,600"
914,Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,790"
915,Porsche,Panamera,2022,2.9,325,331,5.3,"88,800"
916,Subaru,WRX STI,2021,2.5,310,290,5.2,"38,170"
917,Tesla,Roadster,2022,N/A,"10,000+",N/A,1.9,"200,000"
918,Porsche,718 Cayman,2022,2,300,280,4.9,"61,500"
919,Lamborghini,Aventador,2021,6.5,729,509,2.9,"393,695"
920,Ferrari,SF90 Stradale,2022,4,986,590,2.5,"625,000"
921,Audi,RS5 Coupe,2022,2.9,444,443,3.5,"76,350"
922,McLaren,570S,2021,3.8,562,443,3.1,"202,000"
923,BMW,M2,2022,3,405,406,4,"58,900"
924,Mercedes-Benz,SL,2022,3,429,384,4.4,"96,000"
925,Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
926,Ford,GT,2022,3.5,660,550,2.8,"500,000"
927,Nissan,370Z,2021,3.7,332,270,5.3,"33,000"
928,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"75,250"
929,Aston Martin,DB11,2022,4,630,516,3.7,"201,495"
930,Bentley,Continental GT,2021,6,626,664,3.3,"201,000"
931,Dodge,Challenger,2021,6.4,485,475,3.8,"62,000"
932,Jaguar,F-Type R,2022,5,575,516,3.5,"103,200"
933,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
934,Lotus,Evora GT,2021,3.5,416,317,3.8,"99,000"
935,Maserati,GranTurismo,2021,4.7,454,384,4.7,"150,000"
936,Porsche,Cayman GT4,2021,4,414,309,4.2,"102,500"
937,Aston Martin,Vantage,2022,4,503,505,3.5,"149,995"
938,Dodge,Charger SRT Hellcat,2022,6.2,717,650,3.5,"78,595"
939,Audi,RS 7,2021,4,591,590,3.5,"114,000"
940,Chevrolet,Camaro SS,2022,6.2,455,455,4.1,"37,500"
941,Ford,Mustang GT,2022,5,460,420,4,"38,500"
942,Jaguar,F-Type R,2022,5,575,516,3.5,"103,200"
943,Lexus,LC 500,2022,5,471,398,4.4,"92,950"
944,McLaren,570S,2021,3.8,562,443,3.1,"208,800"
945,Mercedes-Benz,AMG C63,2022,4,469,479,3.8,"71,450"
946,Nissan,370Z Nismo,2021,3.7,350,276,4.9,"47,820"
947,Porsche,Panamera GTS,2021,4,473,457,3.9,"134,150"
948,Audi,TT RS,2022,2.5,394,354,3.6,"67,600"
949,BMW,M4,2021,3,473,406,3.8,"71,800"
950,Ferrari,F8 Tributo,2021,3.9,710,568,2.8,"274,280"
951,Lamborghini,Aventador,2021,6.5,770,531,2.9,"393,695"
952,McLaren,GT,2021,4,612,465,3.1,"250,000"
953,Mercedes-Benz,AMG GT 4-Door Coupe,2021,4,630,664,3.1,"171,200"
954,Aston Martin,DBS Superleggera,2022,5.2,715,663,3.4,"321,000"
955,Lotus,Evora GT,2021,3.5,416,317,3.8,"100,500"
956,Porsche,Taycan Turbo S,2021,Electric,750,774,2.6,"185,000"
957,McLaren,570S,2021,3.8,562,443,3.1,"195,000"
958,Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770"
959,Ford,GT,2021,3.5,660,550,3,"500,000"
960,Audi,RS7 Sportback,2022,4,591,590,3.5,"114,000"
961,BMW,M4,2022,3,473,406,4.1,"72,800"
962,Mercedes-AMG,C63 S,2022,4,503,516,3.7,"78,100"
963,Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"63,000"
964,Dodge,Charger Hellcat,2021,6.2,717,650,3.6,"70,000"
965,Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505,443,3.8,"78,450"
966,Tesla,Model S Plaid,2022,Electric,"1,020","1,050",1.9,"141,190"
967,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
968,Porsche,Panamera Turbo S E-Hybrid,2021,Hybrid,689,642,3,"190,000"
969,McLaren,Artura,2022,3,671,531,3,"225,000"
970,Lamborghini,Urus,2021,4,641,627,3.6,"222,000"
971,Ford,Mustang Mach 1,2021,5,480,420,4,"52,915"
972,Porsche,911,2022,3,379,331,4,"101,200"
973,Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390"
974,Ferrari,488 GTB,2022,3.9,661,561,3,"333,750"
975,Audi,R8,2022,5.2,562,406,3.2,"142,700"
976,McLaren,720S,2021,4,710,568,2.7,"298,000"
977,BMW,M8,2022,4.4,617,553,3.1,"130,000"
978,Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500"
979,Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900"
980,Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000"
981,Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000"
982,Dodge,Challenger SRT Hellcat,2021,6.2,717,656,3.5,"64,195"
983,Aston Martin,Vantage,2021,4,503,505,3.6,"147,000"
984,Bugatti,Chiron,2022,8,1500,1180,2.5,"3,900,000"
985,Koenigsegg,Jesko,2022,5,1280,1015,2.5,"3,000,000"
986,Pagani,Huayra,2021,6,764,740,2.8,"2,600,000"
987,Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000"
988,Lotus,Evija,2022,Electric,1973,1254,2.5,"2,000,000"
989,Pininfarina,Battista,2021,Electric,1872,1696,1.9,"2,500,000"
990,Maserati,MC20,2021,3,621,538,2.9,"210,000"
991,Porsche,Cayman,2021,2,300,280,5.1,"59,900"
992,Lamborghini,Aventador,2021,6.5,730,509,2.9,"393,695"
993,Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000"
994,Audi,RS 5,2021,2.9,444,443,3.5,"75,100"
995,McLaren,GT,2022,4,612,465,3.1,"210,000"
996,BMW,M2,2021,3,405,406,4,"58,900"
997,Mercedes-Benz,SLS AMG,2021,6.3,622,468,3.6,"254,500"
998,Chevrolet,Camaro,2021,6.2,455,455,4,"25,000"
999,Ford,Mustang,2021,2.3,310,350,5.3,"27,205"
1000,Nissan,370Z,2021,3.7,332,270,5.1,"30,090"
1001,Aston Martin,Vantage,2021,4,503,505,3.6,"146,000"
1002,Bugatti,Chiron,2021,8,1479,1180,2.4,"3,000,000"
1003,Koenigsegg,Jesko,2022,5,1280,1106,2.5,"3,000,000"
1004,Lotus,Evija,2021,Electric Motor,1972,1254,2,"2,000,000"
1005,McLaren,Senna,2021,4,789,590,2.7,"1,000,000"
1006,Pagani,Huayra,2021,6,764,738,3,"2,600,000"
1007,Rimac,Nevera,2021,Electric Motor,1888,1696,1.85,"2,400,000"
